Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	Primary_WO_Metastasis	CDH1	TSG	0.124579124579125	0.493265993265993	0.0286195286195286	243	52	262	24	18	1
Breast	Metastasis	CDKN2A	TSG	0.0105263157894737	0.326315789473684	0.0660287081339713	336	7	631	6	70	1
Breast	Primary_WO_Metastasis	CTCF	TSG	0.0117845117845118	0.494949494949495	0.0218855218855219	291	5	285	4	14	1
Breast	Primary_WO_Metastasis	ERBB2	OG	0.0185185185185185	0.146464646464646	0.0420875420875421	88	1	472	12	26	1
Breast	Metastasis	ERBB2	OG	0.0449760765550239	0.22488038277512	0.104306220095694	228	9	667	36	106	5
Breast	Primary_W_Metastasis	ERBB2	OG	0.0115062761506276	0.205020920502092	0.0930962343096234	195	3	664	9	89	2
Breast	Primary_W_Metastasis	ESR1	OG	0.0156903765690377	0.25836820083682	0.105648535564854	244	5	600	10	100	3
Breast	Metastasis	ESR1	OG	0.133014354066986	0.241148325358852	0.123444976076555	203	51	596	70	110	21
Breast	Primary_WO_Metastasis	FOXA1	DFG	0.0269360269360269	0.101010101010101	0.0420875420875421	61	1	494	17	26	1
Breast	Primary_W_Metastasis	FOXA1	DFG	0.0146443514644351	0.102510460251046	0.0784518828451883	99	1	771	14	75	2
Breast	Metastasis	FOXA1	DFG	0.0373205741626794	0.100478468899522	0.105263157894737	104	3	797	35	108	4
Breast	Primary_W_Metastasis	GATA3	DFG	0.158995815899582	0.0324267782426778	0.142259414225941	28	5	656	135	123	15
Breast	Metastasis	GATA3	DFG	0.132057416267943	0.0660287081339713	0.134928229665072	64	7	718	119	128	15
Breast	Primary_WO_Metastasis	KDM6A	TSG	0.0168350168350168	0.148148148148148	0.0134680134680135	89	1	489	11	9	1
Breast	Metastasis	KMT2A	TSG	0.0114832535885167	0.439234449760766	0.0344497607655502	453	8	547	5	36	2
Breast	Primary_WO_Metastasis	KMT2A	TSG	0.0117845117845118	0.276094276094276	0.0134680134680135	161	5	420	4	9	1
Breast	Metastasis	KMT2C	TSG	0.0650717703349282	0.144497607655502	0.105263157894737	148	5	736	50	96	16
Breast	Primary_W_Metastasis	KMT2C	TSG	0.047071129707113	0.106694560669456	0.0951882845188285	98	6	725	40	91	2
Breast	Metastasis	KRAS	OG	0.0114832535885167	0.119617224880383	0.109090909090909	126	1	796	12	114	2
Breast	Primary_WO_Metastasis	MAP2K4	TSG	0.031986531986532	0.326599326599327	0.0117845117845118	181	15	389	6	8	1
Breast	Metastasis	MAP2K4	TSG	0.0267942583732057	0.465071770334928	0.0210526315789474	465	23	532	7	23	1
Breast	Primary_W_Metastasis	MAP2K4	TSG	0.0292887029288703	0.457112970711297	0.0135983263598326	418	21	499	9	14	1
Breast	Metastasis	MAP3K1	TSG	0.0545454545454545	0.171291866028708	0.0937799043062201	173	8	729	41	89	11
Breast	Primary_WO_Metastasis	MAP3K1	TSG	0.0723905723905724	0.121212121212121	0.0235690235690236	71	3	470	40	13	3
Breast	Primary_W_Metastasis	MAP3K1	TSG	0.0721757322175732	0.138075313807531	0.0774058577405858	128	6	696	56	66	10
Breast	Metastasis	MEN1	TSG	0.0105263157894737	0.10622009569378	0.0976076555023923	109	4	825	9	103	1
Breast	Primary_W_Metastasis	MEN1	TSG	0.0135983263598326	0.0993723849372385	0.112970711297071	93	4	745	10	108	2
Breast	Metastasis	NCOR1	TSG	0.030622009569378	0.423923444976077	0.0382775119617225	425	20	551	13	40	2
Breast	Primary_W_Metastasis	NCOR1	TSG	0.0292887029288703	0.408995815899582	0.0313807531380753	378	15	523	14	30	2
Breast	Primary_WO_Metastasis	NCOR1	TSG	0.0235690235690236	0.301346801346801	0.0151515151515152	173	8	400	8	10	1
Breast	Metastasis	NF1	TSG	0.0411483253588517	0.216267942583732	0.107177033492823	205	23	688	21	112	2
Breast	Primary_W_Metastasis	NF1	TSG	0.0261506276150628	0.202928870292887	0.0794979079497908	181	15	677	11	76	2
Breast	Primary_WO_Metastasis	NF1	TSG	0.0151515151515152	0.144781144781145	0.0420875420875421	85	3	477	8	26	1
Breast	Metastasis	PIK3CA	OG	0.34066985645933	0.0430622009569378	0.16555023923445	40	7	554	275	98	77
Breast	Primary_WO_Metastasis	PIK3CA	OG	0.434343434343434	0.0151515151515152	0.106060606060606	8	3	283	241	48	17
Breast	Primary_W_Metastasis	PIK3CA	OG	0.351464435146443	0.0397489539748954	0.116108786610879	22	18	537	272	64	49
Breast	Primary_W_Metastasis	PIK3R1	TSG	0.0125523012552301	0.148535564853556	0.0648535564853557	142	2	743	11	62	2
Breast	Metastasis	PIK3R1	TSG	0.0220095693779904	0.156937799043062	0.0832535885167464	160	6	778	18	87	2
Breast	Primary_WO_Metastasis	PIK3R1	TSG	0.0168350168350168	0.122895622895623	0.0168350168350168	73	2	505	8	9	3
Breast	Metastasis	PTEN	TSG	0.0545454545454545	0.186602870813397	0.0440191387559809	180	17	768	38	43	5
Breast	Primary_W_Metastasis	PTEN	TSG	0.0742677824267782	0.138075313807531	0.0282426778242678	109	25	753	46	26	3
Breast	Metastasis	RB1	TSG	0.0277511961722488	0.385645933014354	0.0181818181818182	386	19	613	12	20	1
Breast	Primary_W_Metastasis	RB1	TSG	0.0209205020920502	0.334728033472803	0.0135983263598326	312	10	613	12	14	1
Breast	Primary_WO_Metastasis	RB1	TSG	0.0252525252525253	0.228956228956229	0.00841750841750842	128	10	448	7	6	1
