Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Developmental-GI-Tract	Metastasis	ATM	TSG	0.0214352283317801	0.121155638397018	0.0465983224603914	128	4	876	19	49	3
Developmental-GI-Tract	Metastasis	BCOR	TSG	0.0149114631873253	0.161230195712954	0.0456663560111836	172	3	838	15	50	1
Developmental-GI-Tract	Metastasis	CDKN2A	TSG	0.157502329916123	0.494874184529357	0.0251630941286114	451	82	430	87	26	3
Developmental-GI-Tract	Metastasis	DAXX	TSG	0.0223671947809879	0.124883504193849	0.092264678471575	117	19	836	6	99	2
Developmental-GI-Tract	Metastasis	FBXW7	TSG	0.0121155638397018	0.134203168685927	0.0419384902143523	145	1	872	14	46	1
Developmental-GI-Tract	Metastasis	KDM6A	TSG	0.027027027027027	0.17614165890028	0.0447343895619758	185	6	814	24	48	2
Developmental-GI-Tract	Metastasis	KMT2C	TSG	0.0214352283317801	0.0941286113699907	0.106244175209692	101	2	839	21	113	3
Developmental-GI-Tract	Metastasis	KMT2D	TSG	0.0260950605778192	0.0801491146318733	0.103448275862069	86	2	852	26	110	3
Developmental-GI-Tract	Metastasis	PBRM1	TSG	0.0242311276794035	0.243243243243243	0.0130475302889096	253	10	782	18	15	1
Developmental-GI-Tract	Metastasis	PTEN	TSG	0.0167753960857409	0.118359739049394	0.0298229263746505	120	9	905	11	33	1
Developmental-GI-Tract	Metastasis	RBM10	TSG	0.0167753960857409	0.178937558247903	0.0400745573159366	191	3	823	17	44	1
Developmental-GI-Tract	Metastasis	RNF43	TSG	0.0214352283317801	0.070829450139795	0.121155638397018	75	3	848	21	130	2
Developmental-GI-Tract	Metastasis	SETD2	TSG	0.0139794967381174	0.231127679403541	0.0158434296365331	242	8	801	9	18	1
Developmental-GI-Tract	Metastasis	SMAD4	TSG	0.138863000931966	0.333643988816403	0.0447343895619758	285	75	593	76	49	1
Developmental-GI-Tract	Metastasis	SMARCA4	TSG	0.0139794967381174	0.136067101584343	0.0754892823858341	142	6	838	10	81	2
Developmental-GI-Tract	Metastasis	STK11	TSG	0.0186393289841566	0.190121155638397	0.0577819198508854	199	7	795	14	62	2
Developmental-GI-Tract	Metastasis	TGFBR1	TSG	0.0121155638397018	0.174277726001864	0.0568499534016775	184	5	817	10	62	1
Developmental-GI-Tract	Metastasis	TGFBR2	TSG	0.0223671947809879	0.2618825722274	0.027027027027027	277	6	746	19	29	2
Developmental-GI-Tract	Metastasis	TP53	TSG	0.620689655172414	0.29170549860205	0.0354147250698975	57	258	319	405	34	6
Developmental-GI-Tract	Metastasis	TSC2	TSG	0.0149114631873253	0.112767940354147	0.0876048462255359	112	11	853	7	95	1
Developmental-GI-Tract	Metastasis	BRAF	OG	0.0149114631873253	0.0782851817334576	0.110904007455732	84	2	859	13	117	4
Developmental-GI-Tract	Metastasis	CTNNB1	OG	0.0186393289841566	0.191985088536813	0.0242311276794035	206	2	823	20	27	1
Developmental-GI-Tract	Metastasis	GNAS	OG	0.0214352283317801	0.0167753960857409	0.216216216216216	19	1	802	23	232	2
Developmental-GI-Tract	Metastasis	KRAS	OG	0.657036346691519	0.0354147250698975	0.203168685927307	28	12	275	544	68	152
